Document,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
gemini_3_pro_fsf_report.pdf,75,75,50,0,0,50,25,25,0,0,75,50,50,0,50,0,0,75,100,75,0,0,100,75,75,50,75,0,25
gemini_3_pro_model_card.pdf,100,100,50,100,0,50,25,25,0,0,100,50,50,50,50,50,0,50,75,50,0,0,100,50,50,0,50,50,0
ai-responsibility-update-published-february-2025.pdf,100,50,75,100,75,50,25,25,50,50,100,50,50,50,50,50,0,50,75,25,0,0,100,100,75,0,50,75,0
Secure AI Framework (SAIF) [link],0,0,75,0,0,50,25,25,0,0,0,0,0,0,0,0,0,25,75,0,0,0,100,100,75,0,75,75,0
Safety guidance | Gemini API [link],75,50,50,0,0,50,25,25,0,0,25,50,75,0,25,0,0,75,75,50,0,0,100,0,75,0,50,25,0
Enterprise security controls for Gemini in Google Workspace [link],0,0,75,0,0,50,25,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,50,0,25,0,100,75,0
Generative AI in Google Workspace Privacy Hub (Gemini) [link],50,0,75,50,0,50,25,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,50,0,50,0,50,75,0
ai-principles-2023-progress-update,100,75,75,100,75,50,25,25,50,25,100,50,50,50,50,0,0,50,75,50,0,0,100,100,75,0,50,75,0
gemini-2-flash,75,100,50,25,0,50,25,25,0,0,75,50,50,50,50,50,0,50,75,50,0,0,100,50,50,25,50,0,0
gemini-2.5-pro,100,100,75,100,0,50,25,25,0,0,100,50,50,75,50,50,0,50,100,50,0,0,100,50,50,25,75,0,0
gemini_v1_5_report.pdf,100,100,100,100,0,50,25,25,25,25,100,50,50,50,50,50,0,75,75,50,0,0,100,75,50,50,75,0,0
ai-responsibility-2024-update.pdf,75,50,75,100,75,50,25,25,50,50,100,50,50,75,50,0,0,50,75,50,0,0,100,100,75,0,50,75,0
Google G7 Hiroshima AI Process (HAIP) Transparency Report.pdf,100,50,75,100,75,50,25,25,50,50,100,50,50,50,50,0,0,50,75,50,0,0,100,100,50,0,50,75,0
Technology protect older adults.pdf,50,0,75,0,0,50,75,75,25,50,0,100,100,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
Gemini app safety and policy guidelines,100,0,50,50,0,50,25,25,0,0,100,25,25,75,25,50,0,25,50,0,0,0,25,0,0,0,0,0,0
Gemini-2-5-Computer-Use-Model-Card,75,0,100,0,0,75,50,25,0,0,75,50,50,50,50,50,0,50,75,100,0,0,100,0,50,50,75,0,0
The Gemini API provides safety settings .docx,75,0,25,100,0,50,25,25,0,0,75,50,50,75,25,0,0,75,50,0,0,0,25,0,0,0,0,0,0
