Document,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
OpenAI - 2025 SOC 3 Type 2 - Report.pdf,0,0,75,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,25,50,50,0,75,50,100,0,50
CVE List Trust Portal.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChatGPT_Agent_System_Card.pdf,100,100,75,75,0,0,0,0,0,0,100,50,50,25,50,75,50,90,50,0,0,75,0,50,75,75,75,100,0
deep-research-system-card.pdf,100,100,100,50,0,25,0,0,0,0,100,75,100,0,25,0,0,0,0,0,0,0,0,50,75,75,50,50,0
gpt-5-codex-system-card.pdf,100,75,100,75,0,50,0,50,0,0,100,50,100,0,25,0,0,60,0,0,0,0,0,75,50,100,75,0,100
rule-based-rewards-for-language-model-safety.pdf,100,100,0,75,0,50,50,0,0,75,50,75,75,25,60,50,50,75,0,0,0,75,75,50,50,100,50,0,75
gpt-oss 120b &20b Model Card.pdf,100,0,100,75,0,0,0,0,0,0,100,100,100,25,0,0,50,50,25,0,0,75,50,50,75,100,100,100,50
"IEC 27001, 27017, 27018, 27701.pdf",0,0,75,0,0,0,0,0,0,0,0,100,100,25,50,0,50,50,100,0,0,75,0,75,75,50,100,0,0
gpt-4o-system-card.pdf,100,100,100,75,0,50,0,0,0,0,100,100,100,100,25,50,75,25,25,50,100,75,50,50,50,75,0,75,50
OAI Teen Safety Blueprint.pdf,100,25,50,100,0,0,0,0,0,0,0,75,75,0,25,50,0,0,0,75,50,100,0,0,75,50,0,0,0
preparedness-framework-v2.pdf,75,0,50,75,50,50,50,75,75,0,50,75,75,25,0,75,0,25,50,50,75,75,75,50,75,75,50,0,0
GPT 5 System Card.pdf,100,75,75,75,0,50,50,0,0,75,50,50,50,25,25,75,50,90,50,0,0,75,50,75,50,100,75,100,50
o1_system_card.pdf,75,50,100,75,0,0,0,0,0,0,50,50,100,0,0,50,50,50,50,0,50,75,0,50,50,100,50,75,75
ModelSpec.pdf,100,75,100,75,0,0,0,0,0,0,50,50,100,25,25,25,50,75,0,50,50,75,0,0,50,75,0,75,75
o3-mini-system-card.pdf,100,75,75,50,0,0,0,50,0,50,50,50,100,25,0,50,50,50,50,25,0,50,75,75,50,100,0,75,100
openai-preparedness-framework-beta.pdf,75,100,75,75,0,50,50,0,50,75,50,50,100,25,50,50,50,75,0,0,50,75,50,75,75,75,75,50,75
GPT 4V (Vision) System Card.pdf,75,0,75,75,0,50,50,0,50,75,75,100,75,0,0,50,0,75,75,0,50,0,50,75,50,75,100,0,50
gpt-4-system-card.pdf,100,100,100,75,0,50,50,50,0,50,100,50,50,100,0,50,50,90,75,50,0,50,75,75,75,75,0,50,75
gpt-4-5-system-card.pdf,100,100,100,75,50,50,0,50,25,0,0,75,75,25,50,100,100,60,25,50,100,75,75,0,50,100,75,0,75
disrupting-malicious-uses-of-our-models-february-2025-update.pdf,50,0,75,50,0,0,0,0,50,50,0,0,50,50,0,50,50,50,0,75,50,0,75,75,75,100,100,0,100
Safety in building agents.pdf,50,0,75,0,0,0,50,75,0,0,75,75,50,25,50,75,100,50,100,75,100,50,50,75,75,50,100,0,50
Privacy Designed With Intelligence / Privacy Filter [link],50,0,75,0,0,0,50,50,0,0,50,50,0,25,50,75,50,0,0,100,100,75,100,50,75,75,75,100,50
Expanding on how Voice Engine works and our safety research.pdf,50,0,75,0,0,0,50,75,0,50,0,50,0,50,0,50,50,50,100,100,75,0,75,50,75,0,100,75,100
